FaceID,dPosition,dWidth,dTime,score
1,23.600847442411894,0.078260869565217397,0.139196,0.9339544013022307
2,4.0,0.051359516616314202,0.136407,0.9530564832539765
2,4.242640687119285,0.086206896551724144,0.133777,0.9331864211700939
6,4.123105625617661,0.051359516616314202,0.138473,0.951499441525975
7,5.656854249492381,0.060422960725075532,0.137035,0.9486887922899576
11,31.953090617340916,0.027027027027027029,0.135154,0.9548593769710295
12,3.1622776601683795,0.11398963730569948,0.139743,0.897979787549344
12,6.708203932499369,0.11627906976744186,0.141904,0.8932934040291185
12,8.54400374531753,0.013157894736842105,0.142929,0.9542405521948223
12,10.198039027185569,0.013333333333333334,0.138951,0.9572450276503843
12,5.0990195135927845,0.02368421052631579,0.140303,0.9558207832487268
12,25.495097567963924,0.0,1.677358,0.7483633473040922
12,11.180339887498949,0.0,0.872786,0.7546337830080028
12,6.0,0.0,0.138638,0.9577157783207398
